date_of_death,new_deaths,cumulative_deaths,data_as_of,data_loaded_at
03/17/2020 12:00:00 AM,1,1,11/26/2024 12:00:00 AM,12/05/2024 05:33:19 AM
03/18/2020 12:00:00 AM,0,1,11/26/2024 12:00:00 AM,12/05/2024 05:33:19 AM
03/19/2020 12:00:00 AM,0,1,11/26/2024 12:00:00 AM,12/05/2024 05:33:19 AM
03/20/2020 12:00:00 AM,0,1,11/26/2024 12:00:00 AM,12/05/2024 05:33:19 AM
03/21/2020 12:00:00 AM,0,1,11/26/2024 12:00:00 AM,12/05/2024 05:33:19 AM
03/22/2020 12:00:00 AM,0,1,11/26/2024 12:00:00 AM,12/05/2024 05:33:19 AM
03/23/2020 12:00:00 AM,0,1,11/26/2024 12:00:00 AM,12/05/2024 05:33:19 AM
03/24/2020 12:00:00 AM,1,2,11/26/2024 12:00:00 AM,12/05/2024 05:33:19 AM
03/25/2020 12:00:00 AM,0,2,11/26/2024 12:00:00 AM,12/05/2024 05:33:19 AM
03/26/2020 12:00:00 AM,3,5,11/26/2024 12:00:00 AM,12/05/2024 05:33:19 AM
03/27/2020 12:00:00 AM,2,7,11/26/2024 12:00:00 AM,12/05/2024 05:33:19 AM
03/28/2020 12:00:00 AM,0,7,11/26/2024 12:00:00 AM,12/05/2024 05:33:19 AM
03/29/2020 12:00:00 AM,0,7,11/26/2024 12:00:00 AM,12/05/2024 05:33:19 AM
03/30/2020 12:00:00 AM,1,8,11/26/2024 12:00:00 AM,12/05/2024 05:33:19 AM
03/31/2020 12:00:00 AM,1,9,11/26/2024 12:00:00 AM,12/05/2024 05:33:19 AM
04/01/2020 12:00:00 AM,3,12,11/26/2024 12:00:00 AM,12/05/2024 05:33:19 AM
04/02/2020 12:00:00 AM,0,12,11/26/2024 12:00:00 AM,12/05/2024 05:33:19 AM
04/03/2020 12:00:00 AM,0,12,11/26/2024 12:00:00 AM,12/05/2024 05:33:19 AM
04/04/2020 12:00:00 AM,0,12,11/26/2024 12:00:00 AM,12/05/2024 05:33:19 AM
04/05/2020 12:00:00 AM,1,13,11/26/2024 12:00:00 AM,12/05/2024 05:33:19 AM
04/06/2020 12:00:00 AM,1,14,11/26/2024 12:00:00 AM,12/05/2024 05:33:19 AM
04/07/2020 12:00:00 AM,1,15,11/26/2024 12:00:00 AM,12/05/2024 05:33:19 AM
